type,name,href,cols,context,data_keys
table,,,"Will Hernandez
G
Nov 9
Questionable
Nov 7: Hernandez (knee) is questionable for Sunday's matchup against Seattle, Tyler Drake of ArizonaSports.com reports.",,
table,,,"BJ Ojulari
LB
Nov 16
Out
Nov 7: Ojulari (knee) has been ruled out for Sunday's game against the Seahawks, Tyler Drake of ArizonaSports.com reports.",,
table,,,"Will Johnson
CB
Nov 16
Out
Nov 7: Johnson (back) has been ruled out ahead of Sunday's matchup against the Seahawks, Darren Urban of the Cardinals' official site reports.",,
table,,,"Max Melton
CB
Nov 16
Out
Nov 7: Melton (concussion) has been ruled out ahead of Sunday's matchup against the Seahawks, Darren Urban of the Cardinals' official site reports.",,
table,,,"Mack Wilson Sr.
LB
Nov 16
Out
Nov 7: Wilson (ribs) has been ruled out ahead of Sunday's matchup against the Seahawks, Darren Urban of the Cardinals' official site reports.",,
table,,,"Xavier Weaver
WR
Nov 9
Questionable
",,
table,,,"Kitan Crawford
S
Nov 9
Questionable
",,
table,,,"Trey Benson
RB
Nov 9
Injured Reserve
Nov 5: Cardinals coach Jonathan Gannon said Wednesday that Benson (knee) is ""doing well"" but isn't ready to practice, Theo Mackie of The Arizona Republic reports.",,
table,,,"Kyler Murray
QB
Dec 7
Injured Reserve
Nov 4: Arizona head coach Jonathan Gannon announced that Jacoby Brissett will start Sunday's game in Seattle instead of Murray (foot), Darren Urban of the Cardinals' official site reports.",,
table,,,"Travis Vokolek
TE
Feb 9
Injured Reserve
Oct 15: The Cardinals placed Vokolek on injured reserve Wednesday due to a season-ending neck injury, Darren Urban of the team's official site reports.",,
table,,,"Blake Gillikin
P
Nov 16
Injured Reserve
Oct 11: The Cardinals placed Gillikin on injured reserve Saturday due to a back injury, Zach Gershman of the team's official site reports.",,
table,,,"Tip Reiman
TE
Feb 9
Injured Reserve
Oct 8: Reiman (ankle) was placed on injured reserve Wednesday.",,
table,,,"James Conner
RB
Feb 9
Injured Reserve
Sep 23: The Cardinals placed Conner (foot) on injured reserve Tuesday.",,
table,,,"L.J. Collier
DE
Nov 9
Injured Reserve
Sep 17: Collier (knee) was placed on injured reserve Wednesday.",,
table,,,"Joey Blount
S
Feb 9
Injured Reserve
Sep 10: Head coach Jonathan Gannon told reporters Wednesday that Blount (neck/concussion) will be placed on injured reserve and miss the remainder of the season, Josh Weinfuss of ESPN.com reports.",,
table,,,"Justin Jones
DT
Nov 9
Injured Reserve
Aug 28: The Cardinals placed Jones on injured reserve Thursday due to a knee injury, Darren Urban of the team's official site reports.",,
table,,,"Christian Jones
OT
Nov 9
Injured Reserve
Aug 27: Jones (knee) was placed on injured reserve Tuesday.",,
table,,,"Hayden Conner
G
Nov 9
Injured Reserve
Aug 27: Conner (knee) was placed on injured reserve Tuesday.",,
table,,,"J.J. Russell
LB
Feb 9
Injured Reserve
Aug 27: Russell was placed on injured reserve by the Cardinals on Tuesday, Darren Urban of the team's official website reports.",,
table,,,"Valentin Senn
OT
Feb 9
Injured Reserve
Aug 3: Senn (undisclosed) was placed on injured reserve by the Cardinals on Sunday, Aaron Wilson of KPRC 2 Houston reports.",,
table,,,"Starling Thomas V
CB
Feb 9
Injured Reserve
Jul 27: The Cardinals placed Thomas (knee) on injured reserve Sunday.",,
table,,,"Sean Murphy-Bunting
CB
Feb 9
Out
May 28: Coach Jonathan Gannon said Wednesday that Murphy-Bunting underwent surgery on his knee to address the injury that landed him on Arizona's NFI list, Josh Weinfuss of ESPN.com reports.",,
table,,,"LaCale London
DE
Nov 9
Questionable
Nov 7: London (shoulder) is questionable for Sunday's game against the Colts, Josh Kendall of The Athletic reports.",,
table,,,"Mike Hughes
CB
Nov 9
Questionable
Nov 7: Hughes (neck) is questionable for Sunday's game against the Colts, Josh Kendall of The Athletic reports.",,
table,,,"Storm Norton
OT
Nov 16
Injured Reserve
Nov 6: Norton (foot) is not traveling with the team to Berlin for Sunday's contest against the Colts, Tori McElhaney of the Falcons' official website reports.",,
table,,,"Matthew Bergeron
G
Nov 16
Out
Nov 6: Bergeron (ankle) will not travel to Berlin for Sunday's contest against the Colts, Tori McElhaney of the Falcons' official website reports.",,
table,,,"Chris Lindstrom
G
Nov 9
Questionable
Nov 6: Lindstrom (foot) was a limited participant at practice Thursday, Tori McElhaney of the Falcons' official website reports.",,
table,,,"Leonard Floyd
DE
Nov 16
Out
Nov 6: Floyd has been ruled out for Sunday's matchup against Indianapolis in Berlin, Germany due to a hamstring injury, Tori McElhaney of the Falcons' official site reports.",,
table,,,"Divine Deablo
LB
Nov 23
Injured Reserve
Oct 25: The Falcons placed Deablo (forearm) on injured reserve Saturday, Terrin Waack of the team's official site reports.",,
table,,,"Clark Phillips III
CB
Nov 16
Injured Reserve
Oct 18: The Falcons placed Phillips (triceps/illness) on injured reserve Saturday, Terrin Waack of the team's official site reports.",,
table,,,"Bralen Trice
LB
Nov 9
Injured Reserve
Aug 28: The Falcons placed Trice (knee) on injured reserve Thursday, Tori McElhaney of the team's official site reports.",,
table,,,"Malik Verdon
S
Nov 9
Out
Aug 27: The Falcons moved Verdon to the reserve/non-football injury list Tuesday, Terrin Waack, Will McFadden and Tori McElhaney of the team's official site report.",,
table,,,"Troy Andersen
LB
Nov 9
Out
Aug 26: The Falcons placed Anderson on the reserve/PUP list Tuesday, Terrin Waack, Will McFadden and Tori McElhaney of the team's official site report.",,
table,,,"Kaleb McGary
OT
Feb 9
Injured Reserve
Aug 26: The Falcons placed McGary on season-ending IR on Tuesday, Mike Garafolo of NFL Network reports.",,
table,,,"Emory Jones
QB
Feb 9
Injured Reserve
Aug 19: Jones (concussion) reverted to injured reserve after clearing waivers Tuesday, Aaron Wilson of KPRC 2 Houston reports.",,
table,,,"Broderick Washington Jr.
DT
Nov 23
Injured Reserve
Nov 3: Head coach John Harbaugh told reporters Monday that Washington successfully underwent Achilles tendon surgery, Jonas Shaffer of TheBaltimoreBanner.com reports.",,
table,,,"Tavius Robinson
LB
Nov 27
Injured Reserve
Oct 22: The Ravens placed Robinson (foot) on injured reserve Wednesday, Ryan Mink of the team's official site reports.",,
table,,,"Nnamdi Madubuike
DT
Feb 9
Injured Reserve
Sep 29: Head coach Jon Harbaugh told reporters Monday that Madubuike (neck) won't return this season, Jamison Hensley of ESPN.com reports.",,
table,,,"Ar'Darius Washington
S
Dec 7
Out
Aug 27: The Ravens placed Washington (Achilles) on the reserve/PUP list Tuesday, Jamison Hensley of ESPN.com reports.",,
table,,,"Adisa Isaac
LB
Nov 9
Injured Reserve
Aug 27: Baltimore placed Isaac (elbow) on its injured reserve list Tuesday, Jamison Hensley of ESPN.com reports.",,
table,,,"Dayton Wade
WR
Feb 9
Injured Reserve
Aug 26: The Ravens placed Wade (ribs) on injured reserve Tuesday, Jamison Hensley of ESPN.com reports.",,
table,,,"Robert Longerbeam
CB
Feb 9
Injured Reserve
Aug 10: The Ravens placed Longerbeam (knee) on injured reserve Sunday, Jamison Hensley of ESPN.com reports.",,
table,,,"Bilhal Kone
CB
Feb 9
Injured Reserve
Aug 9: The Ravens placed Kone (knee) on injured reserve Saturday.",,
table,,,"Taron Johnson
CB
Nov 9
Questionable
Nov 7: Johnson (groin) will be listed as questionable for Sunday's game against the Dolphins, Bills coach Sean McDermott said Friday, Joe Buscaglia of The Athletic reports.",,
table,,,"DaQuan Jones
DT
Nov 9
Questionable
Nov 7: Jones (calf) will be listed as questionable for Sunday's game against the Dolphins, Bills coach Sean McDermott said Friday, Joe Buscaglia of The Athletic reports.",,
table,,,"Christian Benford
CB
Nov 9
Questionable
Nov 7: Benford (groin) will be listed as questionable for Sunday's game against the Dolphins, Bills coach Sean McDermott said Friday, Joe Buscaglia of The Athletic reports.",,
table,,,"Shaq Thompson
LB
Nov 16
Out
Nov 7: Thompson (hamstring) won't play Sunday against the Dolphins, head coach Sean McDermott revealed Friday, Maddy Glab of the Bills' official site reports.",,
table,,,"AJ Epenesa
DE
Nov 16
Out
Nov 7: Epenesa (concussion) won't play Sunday against the Dolphins, head coach Sean McDermott revealed Friday, Maddy Glab of the Bills' official site reports.",,
table,,,"Joshua Palmer
WR
Nov 9
Questionable
Nov 7: Palmer (knee/ankle) will be listed as questionable for Sunday's game against the Dolphins, head coach Sean McDermott said Friday, Bills radio broadcaster Chris Brown reports.",,
table,,,"Dorian Strong
CB
Nov 20
Injured Reserve
Nov 3: Head coach Sean McDermott was unable to provide a timeline on Strong's (neck) return Monday, Matt Parrino of The Syracuse Post-Standard reports.",,
table,,,"Michael Hoecht
DE
Feb 9
Injured Reserve
Nov 3: The Bills placed Hoecht on injured reserve Monday due to a torn right Achilles which will sideline him for the rest of the 2025, season, Alaina Getzenberg of ESPN.com reports.",,
table,,,"Ed Oliver
DT
Jan 4
Injured Reserve
Nov 2: Oliver (biceps) has a chance to return for the first week of the playoffs, Ian Rapoport of NFL Network reports.",,
table,,,"Taylor Rapp
S
Jan 4
Injured Reserve
Oct 31: Rapp underwent surgery on his injured knee this week and is likely going to miss the remainder of the season, Alaina Getzenberg of ESPN.com reports.",,
table,,,"T.J. Sanders
DT
Nov 16
Injured Reserve
Oct 11: The Bills placed Sanders (knee) on injured reserve Saturday, Alaina Getzenberg of ESPN reports.",,
table,,,"Damar Hamlin
S
Nov 16
Injured Reserve
Oct 11: The Bills placed on Hamlin (pectoral) on injured reserve Saturday, Alaina Getzenberg of ESPN.com reports.",,
table,,,"Tyler Bass
PK
Nov 9
Injured Reserve
Oct 9: Bills coach Sean McDermott said Thursday that Bass (left hip/groin) is among players on IR who will not have their practice windows opened yet, Joe Buscaglia of The Athletic reports.",,
table,,,"Cameron Johnston
P
Nov 9
Injured Reserve
Sep 30: The Bills placed Johnston (foot/ankle) on injured reserve Tuesday.",,
table,,,"DeWayne Carter
DT
Feb 9
Injured Reserve
Sep 4: The Bills placed Carter (Achilles) on injured reserve Thursday.",,
table,,,"Wande Owens
S
Feb 9
Injured Reserve
Aug 27: Owens (undisclosed) reverted to the Bills' injured reserve list Wednesday, Alaina Getzenberg of ESPN.com reports.",,
table,,,"Tylan Grable
OT
Nov 9
Injured Reserve
Aug 27: Grable (concussion) was placed on injured reserve with a designation to return Tuesday.",,
table,,,"Chandler Zavala
G
Nov 16
Out
Nov 7: Zavala (elbow) has been ruled out ahead of Sunday's matchup against the Saints.",,
table,,,"Brycen Tremayne
WR
Nov 9
Questionable
Nov 7: Tremayne (hip) is listed as questionable ahead of Sunday's matchup against the Saints.",,
table,,,"Tetairoa McMillan
WR
Nov 9
Questionable
Nov 7: Panthers head coach Dave Canales acknowledged Friday that there's ""concern'"" about McMillan's hamstring after something ""popped up"" during Friday's practice, Alex Zietlow of The Charlotte Observer reports.",,
table,,,"Brady Christensen
G
Feb 9
Injured Reserve
Oct 30: Carolina placed Christensen (Achilles) on injured reserve Thursday, Darin Gantt of the team's official site reports.",,
table,,,"Patrick Jones II
LB
Feb 9
Injured Reserve
Oct 18: Jones (back) was placed on injured reserve Saturday, Joe Person of The Athletic reports.",,
table,,,"David Moore
WR
Dec 14
Injured Reserve
Oct 1: Moore suffered a dislocated elbow in last Sunday's loss to the Patriots, Joe Person of The Athletic reports.",,
table,,,"Robert Hunt
G
Dec 14
Injured Reserve
Sep 22: Head coach Dave Canales told reporters Monday that Hunt could miss the rest of the season after undergoing successful surgery to repair a torn biceps, Joe Person of The Athletic reports.",,
table,,,"Damarri Mathis
CB
Feb 9
Injured Reserve
Sep 6: The Panthers placed Mathis (knee) on injured reserve Saturday.",,
table,,,"Popo Aumavae
DT
Feb 9
Injured Reserve
May 9: Aumavae (Achilles) cleared waivers and reverted to injured reserve Friday, Aaron Wilson of KPRC 2 Houston reports.",,
table,,,"Jonathon Brooks
RB
Feb 9
Out
May 8: The Panthers are placing Brooks on the physically unable to perform list, ruling him out for the entire 2025 season.",,
table,,,"Dominique Robinson
DE
Nov 16
Out
Nov 7: Robinson (ankle) has been ruled out for Sunday's game against the Giants.",,
table,,,"Jahdae Walker
WR
Nov 16
Out
Nov 7: Walker (concussion) is officially listed as out for Sunday's game versus the Giants.",,
table,,,"Durham Smythe
TE
Nov 9
Questionable
Nov 7: Smythe (calf) is questionable for Sunday's game against the Giants.",,
table,,,"Josh Blackwell
CB
Nov 16
Out
Nov 7: Blackwell (concussion) has been ruled out ahead of Sunday's matchup against the Giants.",,
table,,,"D'Andre Swift
RB
Nov 9
Questionable
Nov 7: Swift (groin/personal) didn't practice Friday and is listed as questionable for Sunday's game against the Giants.",,
table,,,"T.J. Edwards
LB
Nov 16
Out
Nov 7: Head coach Ben Johnson told reporters Friday that Edwards had surgery on a broken hand and is still dealing with a hamstring injury, Kevin Fishbain of The Athletic reports.",,
table,,,"Dayo Odeyingbo
DE
Feb 9
Injured Reserve
Nov 4: The Bears placed Odeyingbo (Achilles) on injured reserve Tuesday.",,
table,,,"Shemar Turner
DT
Feb 9
Injured Reserve
Oct 28: The Bears placed Turner (knee) on injured reserve Tuesday.",,
table,,,"Braxton Jones
OT
Nov 23
Injured Reserve
Oct 25: Jones (knee) was placed on the injured reserve list Saturday.",,
table,,,"Kyler Gordon
CB
Nov 23
Injured Reserve
Oct 25: Gordon (groin/calf) was placed on the injured reserve list Saturday.",,
table,,,"Jaylon Johnson
CB
Nov 9
Injured Reserve
Sep 22: Johnson (groin) will undergo core-muscle surgery this week, Scott Bair of Marquee Sports Network reports.",,
table,,,"Kiran Amegadjie
OT
Nov 9
Injured Reserve
Sep 20: The Bears placed Amegadjie (elbow) on injured reserve Saturday.",,
table,,,"Zah Frazier
CB
Feb 9
Out
Aug 27: Bears general manager Ryan Poles said Tuesday that Frazier will remain on the reserve/non-football injury list the entire 2025 campaign for a ""personal"" reason, Courtney Cronin of ESPN reports.",,
table,,,"Terell Smith
CB
Feb 9
Injured Reserve
Aug 24: The Bears placed Smith (knee) on injured reserve Sunday.",,
table,,,"Deion Hankins
RB
Feb 9
Injured Reserve
Aug 20: Hankins (shoulder/quadriceps) was placed on injured reserve Wednesday, Adam Hoge of AllCHGO.com reports.",,
table,,,"Marco Wilson
CB
Nov 16
Out
",,
table,,,"Dalton Risner
G
Nov 16
Out
",,
table,,,"Trey Hendrickson
DE
Nov 16
Out
",,
table,,,"Shemar Stewart
DE
Nov 16
Questionable
Nov 3: Head coach Zac Taylor said Monday that Stewart is considered ""week-to-week"" due to a knee injury he sustained during the Bengals' 47-42 loss to the Bears, Ben Baby of ESPN.com reports.",,
table,,,"Samaje Perine
RB
Nov 16
Questionable
Nov 3: Bengals head coach Zac Taylor said that Perine sustained a high-ankle sprain in Sunday's 47-42 loss to the Bears and will need a couple of weeks to recover, Jay Morrison of SI.com reports.",,
table,,,"Matt Lee
C
Dec 7
Injured Reserve
Oct 28: The Bengals placed Lee (knee) on injured reserve Tuesday.",,
table,,,"Shaka Heyward
LB
Dec 7
Injured Reserve
Oct 28: The Bengals placed Heyward (fibula) on injured reserve Tuesday.",,
table,,,"Mike Gesicki
TE
Nov 23
Injured Reserve
Oct 15: The Bengals placed Gesicki (pectoral) on injured reserve Wednesday.",,
table,,,"Joe Burrow
QB
Dec 14
Injured Reserve
Sep 21: Burrow, who underwent surgery Friday to address a Grade 3 turf toe injury, is facing a three-month absence, Ian Rapoport of NFL Network reports.",,
table,,,"Cordell Volson
G
Feb 9
Injured Reserve
Aug 27: Volson (shoulder) reverted to the Bengals' injured reserve list Wednesday.",,
table,,,"Daijahn Anthony
S
Nov 16
Injured Reserve
Aug 27: Anthony (hamstring) was placed on injured reserve by the Bengals on Tuesday, but he was designated to return.",,
table,,,"Erick All Jr.
TE
Feb 9
Out
Aug 26: The Bengals placed All (knee) on the reserve/PUP list Tuesday.",,
table,,,"Cornelius Lucas
OT
Nov 16
Out
Nov 8: Lucas (back) has been ruled out for Cleveland's game versus the Jets.",,
table,,,"Cedric Tillman
WR
Nov 9
Questionable
Nov 8: The Browns activated Tillman (hamstring) from injured reserve Saturday.",,
table,,,"Carson Schwesinger
LB
Nov 9
Questionable
Nov 7: Schwesinger (ankle) is listed as questionable ahead of Sunday's matchup against the Jets, Mary Kay Cabot of The Cleveland Plain Dealer reports.",,
table,,,"Harold Fannin Jr.
TE
Nov 9
Questionable
Nov 7: Fannin (hamstring) will be listed as questionable for Sunday's game against the Jets, Mary Kay Cabot of The Cleveland Plain Dealer reports.",,
table,,,"Isaiah Bond
WR
Nov 16
Out
Nov 7: Bond (foot) won't play Sunday against the Jets, Daniel Oyefusi of ESPN.com reports.",,
table,,,"Deshaun Watson
QB
Nov 23
Out
Nov 3: Browns head coach Kevin Stefanski said Monday that Watson (Achilles) won't have his 21-day practice window opened this week, Scott Petrak of the Elyria Chronicle-Telegram reports.",,
table,,,"DeAndre Carter
WR
Nov 9
Injured Reserve
Sep 29: Head coach Kevin Stefanski told reporters Monday that Carter (knee) will miss ""weeks,"" Daniel Oyefusi of ESPN.com reports.",,
table,,,"Dawand Jones
OT
Feb 9
Injured Reserve
Sep 26: Jones (knee/hamstring) underwent surgery to address a torn LCL in his right knee and a hamstring avulsion Thursday, Chris Easterling of the Akron Beacon Journal reports.",,
table,,,"Winston Reid
LB
Nov 9
Injured Reserve
Aug 27: Reid (back) was placed on injured reserve Tuesday.",,
table,,,"Nathaniel Watson
LB
Feb 9
Injured Reserve
Aug 21: Watson (biceps) was placed on injured reserve Thursday.",,
table,,,"Anthony Kendall
CB
Feb 9
Injured Reserve
Aug 6: Kendall (undisclosed) reverted to Cleveland's injured reserve list Wednesday, Aaron Wilson of KPRC 2 Houston reports.",,
table,,,"Martin Emerson Jr.
CB
Feb 9
Injured Reserve
Jul 30: Emerson (Achilles) was ruled out for the season Wednesday, Mary Kay Cabot of The Cleveland Plain Dealer reports.",,
table,,,"Justin Osborne
C
Feb 9
Injured Reserve
Jun 10: Osborne (undisclosed) reverted to Cleveland's injured reserve Tuesday.",,
table,,,"Jeremiah Owusu-Koramoah
LB
Feb 9
Out
May 12: The Browns placed Owusu-Koramoah (neck) on the Reserve/Physically Unable to to Perform list Monday.",,
table,,,"Shavon Revel Jr.
CB
Nov 17
Out
Nov 4: Head coach Brian Schottenheimer told reporters Tuesday that Revel (knee) is ""trending"" toward making his 2025 debut in the Cowboys' Week 11 road tilt against the Raiders on Monday, Nov. 17, Joe Hoyt of The Dallas Morning News reports.",,
table,,,"DeMarvion Overshown
LB
Nov 17
Out
Nov 4: Head coach Brian Schottenheimer said Tuesday that Overshown (knee) is ""trending"" toward being activated from injured reserve ahead of the Cowboys' Week 11 clash against the Raiders on Monday, Nov. 17, Joe Hoyt of The Dallas Morning News reports.",,
table,,,"Logan Wilson
LB
Nov 16
Out
Nov 4: The Cowboys acquired Wilson (calf) from the Bengals on Tuesday in exchange for a 2026 seventh-round draft pick, Ian Rapoport of NFL Network reports.",,
table,,,"Donovan Wilson
S
Nov 17
Out
",,
table,,,"Ajani Cornelius
OT
Nov 17
Out
",,
table,,,"Alijah Clark
S
Nov 17
Out
",,
table,,,"Solomon Thomas
DT
Nov 17
Questionable
Nov 3: Thomas is questionable to return to Monday's clash against the Cardinals due to a calf issue.",,
table,,,"Markquese Bell
S
Nov 17
Questionable
Nov 3: Bell is questionable to return on Monday's Week 9 matchup against the Cardinals due to cramps.",,
table,,,"Terence Steele
OT
Nov 17
Questionable
Nov 3: Steele was added to the Cowboys' injury report for Monday's game against the Cardinals due to a migraine but will be active for the game, Calvin Watkins of The Dallas Morning News reports.",,
table,,,"Jack Sanborn
LB
Dec 4
Injured Reserve
Nov 3: Sanborn (groin) was placed on the injured reserve list Monday.",,
table,,,"Perrion Winfrey
DT
Nov 17
Injured Reserve
Nov 1: Winfrey (back) has been ruled out ahead of Monday's game against the Cowboys, Todd Archer of ESPN.com reports.",,
table,,,"Trevon Diggs
CB
Nov 27
Injured Reserve
Oct 30: Diggs (concussion/knee) attended practice Thursday, Joe Hoyt of The Dallas Morning News reports.",,
table,,,"Trevor Keegan
G
Nov 27
Injured Reserve
Oct 21: The Cowboys placed Keegan (neck) on injured reserve Tuesday.",,
table,,,"Miles Sanders
RB
Feb 9
Injured Reserve
Oct 11: The Cowboys placed Sanders (knee/ankle) on injured reserve Saturday.",,
table,,,"Malik Hooker
S
Nov 17
Injured Reserve
Oct 4: Hooker (toe) was placed on injured reserve Saturday.",,
table,,,"John Stephens Jr.
TE
Nov 17
Injured Reserve
Aug 28: The previously terminated contract between the Cowboys and Stephens (undisclosed) was reinstated Thursday, and he has been placed on injured reserve, Aaron Wilson of KPRC 2 Houston reports.",,
table,,,"Phil Mafah
RB
Nov 17
Injured Reserve
Aug 27: The Cowboys placed Mafah (shoulder) on injured reserve Wednesday.",,
table,,,"Payton Turner
DE
Nov 17
Injured Reserve
Aug 26: The Cowboys placed Turner (ribs) on injured reserve Tuesday, ruling him out for at least the first four games of the regular season.",,
table,,,"Rob Jones
G
Feb 9
Injured Reserve
Aug 8: Jones (neck) was placed on season-ending injured reserve Friday, Nick Eatman of the Cowboys' official site reports.",,
table,,,"Josh Butler
CB
Nov 17
Out
Jul 21: Butler (knee) was placed on the active/PUP list Monday, Calvin Watkins of the Dallas Morning News reports.",,
table,,,"J.K. Dobbins
RB
Nov 16
Questionable
Nov 7: Dobbins suffered a foot injury during Thursday's 10-7 win against the Raiders and is getting a second opinion, Tom Pelissero of NFL Network reports.",,
table,,,"Jonah Elliss
LB
Nov 16
Questionable
Nov 6: Elliss (hamstring) has been ruled out for the remainder of Thursday night's contest versus Las Vegas, Nick Kosmider of The Athletic reports.",,
table,,,"Karene Reid
LB
Nov 16
Questionable
Nov 6: Reid (hamstring) has been ruled out for the rest of Thursday night's contest against the Raiders, Parker Gabriel of The Denver Post reports.",,
table,,,"Jaleel McLaughlin
RB
Nov 16
Out
Nov 6: McLaughlin (coach's decision) is inactive  for Thursday's game against the Raiders.",,
table,,,"Pat Surtain II
CB
Nov 16
Out
",,
table,,,"Que Robinson
LB
Nov 16
Out
",,
table,,,"Marvin Mims Jr.
WR
Nov 16
Out
",,
table,,,"Sai'vion Jones
DE
Nov 16
Out
",,
table,,,"Jordan Jackson
DT
Nov 16
Out
",,
table,,,"Nate Adkins
TE
Nov 16
Out
",,
table,,,"Lucas Krull
TE
Jan 4
Injured Reserve
Oct 27: Krull underwent surgery to repair the the fractured fifth metatarsal in his left foot Monday and is expected to be out for eight weeks, Chris Tomasson of The Denver Gazette reports.",,
table,,,"Garret Wallow
LB
Nov 16
Injured Reserve
Oct 14: The Broncos placed Wallow (hamstring) on injured reserve Tuesday, Ben Swanson of the team's official site reports.",,
table,,,"Matt Peart
OT
Nov 16
Injured Reserve
Oct 14: The Broncos placed Peart (knee) on injured reserve Tuesday.",,
table,,,"Ben Powers
G
Dec 7
Injured Reserve
Oct 11: The Broncos placed Powers (biceps) on injured reserve Saturday, Chris Tomasson of The Denver Gazette reports.",,
table,,,"Drew Sanders
LB
Nov 16
Injured Reserve
Aug 27: Sanders (foot) was placed on injured reserve with a designation to return Tuesday, Aric DiLalla of the Broncos' official website reports.",,
table,,,"Michael Burton
FB
Feb 9
Injured Reserve
Aug 26: Burton was placed on injured reserve by the Broncos on Tuesday, Aric DiLalla of the team's official website reports.",,
table,,,"Nick Gargiulo
G
Feb 9
Injured Reserve
Aug 19: Head coach Sean Payton announced Tuesday that it was an ACL injury that landed Gargiulo on injured reserve, Aric DiLalla of the Broncos' official site reports.",,
table,,,"Matt Henningsen
DE
Feb 9
Injured Reserve
Aug 11: Henningsen (Achilles) reverted to the Broncos' injured reserve Monday, Chris Tomasson of The Denver Gazette reports.",,
table,,,"Johnny Walker Jr.
LB
Feb 9
Injured Reserve
Jul 31: Walker (undisclosed) was placed on injured reserve by the Broncos on Thursday, Aric DiLalla of the team's official site reports.",,
table,,,"Daniel Thomas
S
Nov 9
Questionable
",,
table,,,"Miles Frazier
G
Nov 16
Out
Nov 7: Frazier (knee) has been ruled out for Sunday's game against the Commanders.",,
table,,,"Taylor Decker
OT
Nov 9
Questionable
Nov 7: Decker (shoulder) is listed as questionable for Sunday's game against the Commanders.",,
table,,,"Pat O'Connor
DE
Nov 16
Out
Nov 7: O'Connor (knee) has been ruled out for Sunday's game against the Commanders.",,
table,,,"Malcolm Rodriguez
LB
Nov 16
Out
Nov 7: Rodriguez (knee) is listed as questionable for Sunday's game against the Commanders.",,
table,,,"Josh Paschal
DE
Nov 16
Out
Nov 7: Paschal (back) has been ruled out for Sunday's game against Washington.",,
table,,,"Craig Reynolds
RB
Nov 9
Questionable
Nov 7: Reynolds (hamstring) is listed as questionable for Sunday's game against the Commanders.",,
table,,,"Jacob Saylors
RB
Nov 16
Out
Nov 7: Saylors (back) has been ruled out for Sunday's game against the Commanders.",,
table,,,"Kerby Joseph
S
Nov 16
Out
Nov 7: Joseph (knee) has been ruled out for Sunday's game against the Commanders.",,
table,,,"Christian Mahogany
G
Dec 4
Injured Reserve
Nov 5: The Lions placed Mahogany (leg) on injured reserve Wednesday, Allen Park of Michigan Live reports.",,
table,,,"Grant Stuard
LB
Nov 9
Questionable
",,
table,,,"Dan Skipper
OT
Nov 9
Questionable
",,
table,,,"Marcus Davenport
DE
Nov 16
Injured Reserve
Oct 28: Head coach Dan Campbell did not provide a definitive timetable for Davenport (chest) to return from injury during Tuesday's press conference, Nolan Bianchi of The Detroit News reports.",,
table,,,"Zach Cunningham
LB
Nov 27
Injured Reserve
Oct 22: Detroit placed Cunningham (hamstring) on its injured reserve list Wednesday, Jacob Richman of mlive.com reports.",,
table,,,"Giovanni Manu
OT
Nov 16
Injured Reserve
Oct 11: The Lions placed Manu (knee) on injured reserve Saturday.",,
table,,,"Khalil Dorsey
CB
Nov 16
Injured Reserve
Oct 8: Dorsey (concussion) was placed on injured reserve Wednesday.",,
table,,,"D.J. Reed
CB
Nov 9
Injured Reserve
Oct 1: The Lions placed Reed (hamstring) on injured reserve Wednesday.",,
table,,,"Shane Zylstra
TE
Nov 9
Injured Reserve
Sep 16: The Lions placed Zylstra (ankle) on injured reserve Tuesday.",,
table,,,"Jamarco Jones
OT
Feb 9
Injured Reserve
Sep 8: Head coach Dan Campbell said Monday that Jones (ankle) is out for the entire 2025 season, Colton Pouncy of The Athletic reports.",,
table,,,"Ezekiel Turner
LB
Feb 9
Injured Reserve
Aug 27: The Lions placed Turner (foot) on injured reserve Tuesday.",,
table,,,"Colby Sorsdal
OT
Feb 9
Injured Reserve
Aug 10: The Lions placed Sorsdal (undisclosed) on injured reserve Sunday.",,
table,,,"Ennis Rakestraw Jr.
CB
Feb 9
Injured Reserve
Aug 7: Rakestraw (shoulder) was placed on injured reserve Thursday.",,
table,,,"Kye Robichaux
RB
Feb 9
Injured Reserve
Aug 5: Robichaux (undisclosed) reverted to Detroit's injured reserve list Tuesday, per the NFL's transaction log.",,
table,,,"Dan Jackson
S
Feb 9
Injured Reserve
Aug 4: The Lions placed Jackson (leg) on injured reserve Monday.",,
table,,,"Levi Onwuzurike
DE
Feb 9
Out
Jul 20: Onwuzurike will miss the 2025 NFL campaign after undergoing surgery for a torn ACL, Adam Schefter of ESPN reports.",,
table,,,"Nate Hobbs
CB
Nov 16
Out
",,
table,,,"Dontayvion Wicks
WR
Nov 10
Questionable
Nov 8: Wicks (calf) is listed as questionable for Monday's contest against the Eagles, Wes Hodkiewicz of the Packers' official site reports.",,
table,,,"Matthew Golden
WR
Nov 10
Questionable
Nov 8: Golden (shoulder) is listed as questionable for Monday's game against the Eagles, Wes Hodkiewicz of the Packers' official site reports.",,
table,,,"Lukas Van Ness
DE
Nov 16
Out
Nov 8: Van Ness (foot) has been ruled out for Monday's matchup versus the Eagles, Rob Demovsky of ESPN reports.",,
table,,,"Savion Williams
WR
Nov 10
Questionable
Nov 7: Williams (foot) was a limited participant at practice Friday.",,
